v8-version,6,1,534,47,0
code-creation,Stub,3,8796,0x6c2ebd37580,2284,"RecordWriteStub"
code-creation,Stub,3,8804,0x6c2ebd37e80,2254,"RecordWriteStub"
code-creation,Stub,3,8813,0x6c2ebd38760,615,"StringAddStub"
code-creation,Stub,3,8822,0x6c2ebd389e0,375,"NumberToStringStub"
code-creation,Stub,3,8830,0x6c2ebd38b60,980,"RecordWriteStub"
code-creation,Stub,3,8839,0x6c2ebd38f40,2263,"RecordWriteStub"
code-creation,Handler,4,8848,0x6c2ebd39820,296,"An IC handler from the snapshot"
code-creation,Stub,3,8856,0x6c2ebd39960,2307,"RecordWriteStub"
code-creation,Stub,3,8865,0x6c2ebd3a280,2254,"RecordWriteStub"
code-creation,Stub,3,8874,0x6c2ebd3ab60,185,"DoubleToIStub"
code-creation,Stub,3,8883,0x6c2ebd3ac20,2283,"RecordWriteStub"
code-creation,Stub,3,8891,0x6c2ebd3b520,978,"RecordWriteStub"
code-creation,Stub,3,8900,0x6c2ebd3b900,2257,"RecordWriteStub"
code-creation,Stub,3,8909,0x6c2ebd3c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,8917,0x6c2ebd3cae0,2241,"RecordWriteStub"
code-creation,Stub,3,8926,0x6c2ebd3d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,8934,0x6c2ebd3dcc0,972,"RecordWriteStub"
code-creation,Stub,3,8943,0x6c2ebd3e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,8952,0x6c2ebd3e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,8961,0x6c2ebd3eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,8969,0x6c2ebd3ee00,974,"RecordWriteStub"
code-creation,Stub,3,8978,0x6c2ebd3f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,8987,0x6c2ebd3fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,8995,0x6c2ebd3fc00,2242,"RecordWriteStub"
code-creation,Stub,3,9004,0x6c2ebd404e0,2241,"RecordWriteStub"
code-creation,Stub,3,9013,0x6c2ebd40dc0,980,"RecordWriteStub"
code-creation,Stub,3,9022,0x6c2ebd411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,9048,0x6c2ebd41280,2266,"RecordWriteStub"
code-creation,Stub,3,9058,0x6c2ebd41b60,183,"DoubleToIStub"
code-creation,Stub,3,9066,0x6c2ebd41c20,2241,"RecordWriteStub"
code-creation,Stub,3,9075,0x6c2ebd42500,986,"RecordWriteStub"
code-creation,Stub,3,9084,0x6c2ebd428e0,2242,"RecordWriteStub"
code-creation,Stub,3,9092,0x6c2ebd431c0,2269,"RecordWriteStub"
code-creation,Stub,3,9101,0x6c2ebd43aa0,2270,"RecordWriteStub"
code-creation,Stub,3,9110,0x6c2ebd44380,2270,"RecordWriteStub"
code-creation,Stub,3,9118,0x6c2ebd44c60,2253,"RecordWriteStub"
code-creation,Stub,3,9127,0x6c2ebd45540,2311,"RecordWriteStub"
code-creation,Stub,3,9136,0x6c2ebd45e60,2326,"RecordWriteStub"
code-creation,Stub,3,9144,0x6c2ebd46780,365,"CEntryStub"
code-creation,Stub,3,9153,0x6c2ebd46900,2254,"RecordWriteStub"
code-creation,Stub,3,9162,0x6c2ebd471e0,2275,"RecordWriteStub"
code-creation,Stub,3,9170,0x6c2ebd47ae0,2238,"RecordWriteStub"
code-creation,Stub,3,9179,0x6c2ebd483a0,2308,"RecordWriteStub"
code-creation,Stub,3,9188,0x6c2ebd48cc0,2284,"RecordWriteStub"
code-creation,Stub,3,9196,0x6c2ebd495c0,565,"CEntryStub"
code-creation,Stub,3,9219,0x6c2ebd49800,2300,"RecordWriteStub"
tick,0x7fff7142e2c2,9241,0,0x0,4
code-creation,Stub,3,9273,0x6c2ebd4a100,2253,"RecordWriteStub"
code-creation,Stub,3,9286,0x6c2ebd4a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,9295,0x6c2ebd4b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,9304,0x6c2ebd4b360,124,"ReturnReceiver"
code-creation,Builtin,5,9313,0x6c2ebd4b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,9326,0x6c2ebd4b600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,9335,0x6c2ebd4b760,335,"CreateIterResultObject"
code-creation,Builtin,5,9343,0x6c2ebd4b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,9352,0x6c2ebd4bae0,546,"GeneratorPrototypeThrow"
