v8-version,6,1,534,47,0
code-creation,Stub,3,16827,0x9d76a93ac20,2283,"RecordWriteStub"
code-creation,Stub,3,16836,0x9d76a93b520,978,"RecordWriteStub"
code-creation,Stub,3,16844,0x9d76a93b900,2257,"RecordWriteStub"
code-creation,Stub,3,16853,0x9d76a93c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,16862,0x9d76a93cae0,2241,"RecordWriteStub"
code-creation,Stub,3,16870,0x9d76a93d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,16879,0x9d76a93dcc0,972,"RecordWriteStub"
code-creation,Stub,3,16887,0x9d76a93e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,16896,0x9d76a93e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,16905,0x9d76a93eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,16914,0x9d76a93ee00,974,"RecordWriteStub"
code-creation,Stub,3,16942,0x9d76a93f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,16951,0x9d76a93fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,16960,0x9d76a93fc00,2242,"RecordWriteStub"
code-creation,Stub,3,16968,0x9d76a9404e0,2241,"RecordWriteStub"
code-creation,Stub,3,16977,0x9d76a940dc0,980,"RecordWriteStub"
code-creation,Stub,3,16986,0x9d76a9411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,16994,0x9d76a941280,2266,"RecordWriteStub"
code-creation,Stub,3,17003,0x9d76a941b60,183,"DoubleToIStub"
code-creation,Stub,3,17011,0x9d76a941c20,2241,"RecordWriteStub"
code-creation,Stub,3,17020,0x9d76a942500,986,"RecordWriteStub"
code-creation,Stub,3,17029,0x9d76a9428e0,2242,"RecordWriteStub"
code-creation,Stub,3,17037,0x9d76a9431c0,2269,"RecordWriteStub"
code-creation,Stub,3,17046,0x9d76a943aa0,2270,"RecordWriteStub"
code-creation,Stub,3,17054,0x9d76a944380,2270,"RecordWriteStub"
code-creation,Stub,3,17063,0x9d76a944c60,2253,"RecordWriteStub"
code-creation,Stub,3,17072,0x9d76a945540,2311,"RecordWriteStub"
code-creation,Stub,3,17080,0x9d76a945e60,2326,"RecordWriteStub"
code-creation,Stub,3,17089,0x9d76a946780,365,"CEntryStub"
code-creation,Stub,3,17097,0x9d76a946900,2254,"RecordWriteStub"
code-creation,Stub,3,17106,0x9d76a9471e0,2275,"RecordWriteStub"
code-creation,Stub,3,17114,0x9d76a947ae0,2238,"RecordWriteStub"
code-creation,Stub,3,17123,0x9d76a9483a0,2308,"RecordWriteStub"
code-creation,Stub,3,17132,0x9d76a948cc0,2284,"RecordWriteStub"
code-creation,Stub,3,17140,0x9d76a9495c0,565,"CEntryStub"
code-creation,Stub,3,17149,0x9d76a949800,2300,"RecordWriteStub"
code-creation,Stub,3,17158,0x9d76a94a100,2253,"RecordWriteStub"
code-creation,Stub,3,17166,0x9d76a94a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,17175,0x9d76a94b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,17184,0x9d76a94b360,124,"ReturnReceiver"
code-creation,Builtin,5,17192,0x9d76a94b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,17206,0x9d76a94b600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,17214,0x9d76a94b760,335,"CreateIterResultObject"
code-creation,Builtin,5,17223,0x9d76a94b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,17232,0x9d76a94bae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,17240,0x9d76a94bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,17252,0x9d76a94c3a0,200,"ToBoolean"
code-creation,Builtin,5,17260,0x9d76a94c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,17269,0x9d76a94d540,448,"StringEqual"
code-creation,Builtin,5,17278,0x9d76a94d700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,17286,0x9d76a94ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,17295,0x9d76a94ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,17304,0x9d76a94f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,17313,0x9d76a94fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,17321,0x9d76a950240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,17330,0x9d76a950440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,17339,0x9d76a950820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,17347,0x9d76a950900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,17372,0x9d76a950d00,1024,"AsyncGeneratorPrototypeThrow"
tick,0x7fff7919b159,17400,0,0x0,4
code-creation,Builtin,5,17443,0x9d76a951100,134,"Illegal"
code-creation,Builtin,5,17467,0x9d76a9511a0,134,"ObjectAssign"
code-creation,Builtin,5,17483,0x9d76a951240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,17497,0x9d76a9512e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,17511,0x9d76a951380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,17525,0x9d76a951420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,17538,0x9d76a9514c0,134,"ObjectIs"
code-creation,Builtin,5,17552,0x9d76a951560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,17566,0x9d76a951600,134,"ObjectSeal"
code-creation,Builtin,5,17581,0x9d76a9516a0,972,"ObjectCreate"
code-creation,Builtin,5,17594,0x9d76a951a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,17647,0x9d76a951b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,17661,0x9d76a951bc0,134,"ObjectFreeze"
code-creation,Builtin,5,17675,0x9d76a951c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,17688,0x9d76a951d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,17703,0x9d76a951da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,17716,0x9d76a951e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,17730,0x9d76a951ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,17744,0x9d76a951f80,640,"ObjectKeys"
code-creation,Builtin,5,17757,0x9d76a952200,134,"ObjectEntries"
code-creation,Builtin,5,17771,0x9d76a9522a0,134,"ObjectValues"
code-creation,Builtin,5,17780,0x9d76a952340,134,"ObjectDefineGetter"
code-creation,Builtin,5,17789,0x9d76a9523e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,17798,0x9d76a952480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,17807,0x9d76a952d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,17815,0x9d76a952da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,17824,0x9d76a952e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,17833,0x9d76a952f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,17842,0x9d76a953020,880,"ObjectProtoToString"
code-creation,Builtin,5,17850,0x9d76a9533a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,17859,0x9d76a953440,134,"ObjectPrototypeGetProto"
