v8-version,6,0,287,53,0
code-creation,Stub,3,10518,0x21588e23ec40,2323,"RecordWriteStub"
code-creation,Stub,3,10527,0x21588e23f560,1444,"RecordWriteStub"
code-creation,Stub,17,10536,0x21588e23fb20,304,"BinaryOpICStub"
code-creation,Stub,3,10545,0x21588e23fc60,2298,"RecordWriteStub"
code-creation,Stub,3,10553,0x21588e240560,1444,"RecordWriteStub"
code-creation,Stub,17,10562,0x21588e240b20,240,"BinaryOpICStub"
code-creation,Stub,3,10571,0x21588e240c20,327,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,17,10579,0x21588e240d80,228,"BinaryOpICStub"
code-creation,Stub,3,10588,0x21588e240e80,1034,"RecordWriteStub"
code-creation,Stub,3,10596,0x21588e2412a0,1004,"RecordWriteStub"
code-creation,Stub,3,10605,0x21588e2416a0,2286,"RecordWriteStub"
code-creation,Stub,17,10614,0x21588e241fa0,228,"BinaryOpICStub"
code-creation,Stub,17,10622,0x21588e2420a0,228,"BinaryOpICStub"
code-creation,Stub,3,10631,0x21588e2421a0,2316,"RecordWriteStub"
code-creation,Stub,17,10639,0x21588e242ac0,248,"BinaryOpICStub"
code-creation,Stub,3,10648,0x21588e242bc0,515,"CreateAllocationSiteStub"
code-creation,Stub,3,10657,0x21588e242de0,2324,"RecordWriteStub"
code-creation,Stub,3,10665,0x21588e243700,1006,"RecordWriteStub"
code-creation,Stub,3,10674,0x21588e243b00,215,"DoubleToIStub"
code-creation,Stub,3,10702,0x21588e243be0,2298,"RecordWriteStub"
code-creation,Handler,4,10711,0x21588e2444e0,776,"An IC handler from the snapshot"
code-creation,Stub,17,10720,0x21588e244800,228,"BinaryOpICStub"
code-creation,Stub,17,10728,0x21588e244900,455,"BinaryOpICStub"
code-creation,Stub,3,10737,0x21588e244ae0,2273,"RecordWriteStub"
code-creation,Stub,17,10746,0x21588e2453e0,483,"BinaryOpICStub"
code-creation,Stub,3,10755,0x21588e2455e0,495,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,10805,0x21588e2457e0,3437,"SubStringStub"
code-creation,Stub,3,10836,0x21588e246560,1012,"RecordWriteStub"
code-creation,Stub,17,10854,0x21588e246960,228,"BinaryOpICStub"
code-creation,Stub,17,10869,0x21588e246a60,455,"BinaryOpICStub"
code-creation,Stub,3,10883,0x21588e246c40,2273,"RecordWriteStub"
code-creation,Stub,17,10897,0x21588e247540,455,"BinaryOpICStub"
code-creation,Stub,3,10911,0x21588e247720,2298,"RecordWriteStub"
code-creation,Stub,17,10924,0x21588e248020,173,"BinaryOpICStub"
code-creation,Stub,17,10937,0x21588e2480e0,173,"BinaryOpICStub"
code-creation,Stub,17,10950,0x21588e2481a0,451,"BinaryOpICStub"
code-creation,Stub,17,10964,0x21588e248380,312,"BinaryOpICStub"
code-creation,Stub,17,10978,0x21588e2484c0,248,"BinaryOpICStub"
code-creation,Stub,17,10991,0x21588e2485c0,336,"BinaryOpICStub"
code-creation,Stub,17,11004,0x21588e248720,423,"BinaryOpICStub"
code-creation,Stub,3,11017,0x21588e2488e0,149,"StubFailureTrampolineStub"
code-creation,Stub,17,11031,0x21588e248980,240,"BinaryOpICStub"
code-creation,Stub,17,11044,0x21588e248a80,240,"BinaryOpICStub"
code-creation,Stub,17,11057,0x21588e248b80,248,"BinaryOpICStub"
code-creation,Stub,3,11094,0x21588e248c80,2286,"RecordWriteStub"
tick,0x7fff7142e2c2,11123,0,0x0,4
code-creation,Stub,3,11162,0x21588e249580,459,"CallApiGetterStub"
code-creation,Stub,3,11184,0x21588e249760,2298,"RecordWriteStub"
code-creation,Stub,17,11202,0x21588e24a060,439,"BinaryOpICStub"
code-creation,Stub,17,11218,0x21588e24a220,240,"BinaryOpICStub"
code-creation,Stub,17,11237,0x21588e24a320,173,"BinaryOpICStub"
code-creation,Stub,3,11257,0x21588e24a3e0,2315,"RecordWriteStub"
code-creation,Stub,17,11274,0x21588e24ad00,300,"BinaryOpICStub"
code-creation,Handler,4,11290,0x21588e24ae40,340,"An IC handler from the snapshot"
code-creation,Handler,4,11305,0x21588e24afa0,340,"An IC handler from the snapshot"
code-creation,Stub,17,11320,0x21588e24b100,300,"BinaryOpICStub"
code-creation,Stub,3,11336,0x21588e24b240,2270,"RecordWriteStub"
code-creation,Stub,17,11351,0x21588e24bb20,423,"BinaryOpICStub"
code-creation,Stub,3,11427,0x21588e24bce0,2302,"RecordWriteStub"
code-creation,Stub,17,11464,0x21588e24c5e0,308,"BinaryOpICStub"
code-creation,Stub,3,11490,0x21588e24c720,148,"StubFailureTrampolineStub"
code-creation,Stub,17,11508,0x21588e24c7c0,455,"BinaryOpICStub"
code-creation,Stub,3,11529,0x21588e24c9a0,2297,"RecordWriteStub"
code-creation,Stub,3,11546,0x21588e24d2a0,2316,"RecordWriteStub"
code-creation,Stub,3,11565,0x21588e24dbc0,2286,"RecordWriteStub"
code-creation,Stub,17,11583,0x21588e24e4c0,423,"BinaryOpICStub"
code-creation,Stub,3,11600,0x21588e24e680,2282,"RecordWriteStub"
code-creation,Stub,3,11615,0x21588e24ef80,1028,"RecordWriteStub"
code-creation,Stub,17,11629,0x21588e24f3a0,173,"BinaryOpICStub"
code-creation,Stub,17,11642,0x21588e24f460,228,"BinaryOpICStub"
code-creation,Stub,3,11656,0x21588e24f560,238,"InternalArrayConstructorStub"
code-creation,Stub,3,11669,0x21588e24f660,2286,"RecordWriteStub"
code-creation,Stub,3,11684,0x21588e24ff60,2315,"RecordWriteStub"
code-creation,Stub,3,11698,0x21588e250880,419,"CreateWeakCellStub"
code-creation,Stub,17,11713,0x21588e250a40,427,"BinaryOpICStub"
code-creation,Stub,17,11728,0x21588e250c00,248,"BinaryOpICStub"
code-creation,Stub,3,11743,0x21588e250d00,2270,"RecordWriteStub"
code-creation,Stub,3,11758,0x21588e2515e0,2324,"RecordWriteStub"
